"Barcode","variable","value","Batch","Rep","gene","ploidy","class"
8297,"A.DE1.PCRa_fitness",0.683675925364591,"DE","fitness","CYR1","Haploid","PKA"
8459,"A.DE1.PCRa_fitness",0.387275684570959,"DE","fitness","other","Diploid","other"
8825,"A.DE1.PCRa_fitness",-0.00794675888314074,"DE","fitness","other","Haploid","other"
9293,"A.DE1.PCRa_fitness",0.361008515599584,"DE","fitness","other","NotSequenced","other"
9518,"A.DE1.PCRa_fitness",0.400262732963697,"DE","fitness","other","NotSequenced","other"
9589,"A.DE1.PCRa_fitness",0.174622034930597,"DE","fitness","other","Diploid","other"
9689,"A.DE1.PCRa_fitness",0.6117905659455,"DE","fitness","other","Diploid","other"
9864,"A.DE1.PCRa_fitness",1.03251099878843,"DE","fitness","IRA1","Haploid","PKA"
9888,"A.DE1.PCRa_fitness",0.714226519751575,"DE","fitness","GPB2","Haploid","PKA"
10050,"A.DE1.PCRa_fitness",0.387370999659872,"DE","fitness","other","NotSequenced","other"
10103,"A.DE1.PCRa_fitness",0.792199223263908,"DE","fitness","other","Diploid","other"
10307,"A.DE1.PCRa_fitness",0.073308185667551,"DE","fitness","other","Haploid","other"
10316,"A.DE1.PCRa_fitness",0.373485597574629,"DE","fitness","Diploid","Diploid","Diploid"
10623,"A.DE1.PCRa_fitness",-0.161461861494975,"DE","fitness","other","NotSequenced","other"
10794,"A.DE1.PCRa_fitness",1.06260556357653,"DE","fitness","IRA1","Haploid","PKA"
10851,"A.DE1.PCRa_fitness",0.765931560231337,"DE","fitness","GPB2","Haploid","PKA"
11430,"A.DE1.PCRa_fitness",0.886005856069091,"DE","fitness","RAS2","Haploid","PKA"
11456,"A.DE1.PCRa_fitness",0.396323309951533,"DE","fitness","other","NotSequenced","other"
11586,"A.DE1.PCRa_fitness",0.381734241808298,"DE","fitness","other","NotSequenced","other"
11667,"A.DE1.PCRa_fitness",0.359219259631097,"DE","fitness","other","NotSequenced","other"
11752,"A.DE1.PCRa_fitness",1.1278404307248,"DE","fitness","IRA1","Haploid","PKA"
11933,"A.DE1.PCRa_fitness",0.763224601825389,"DE","fitness","GPB2","Haploid","PKA"
12090,"A.DE1.PCRa_fitness",0.363281069006468,"DE","fitness","other","Diploid","other"
12752,"A.DE1.PCRa_fitness",0.362086656377074,"DE","fitness","Diploid","Diploid","Diploid"
13029,"A.DE1.PCRa_fitness",0.396181291865786,"DE","fitness","Diploid","Diploid","Diploid"
13132,"A.DE1.PCRa_fitness",1.09354022343938,"DE","fitness","IRA1","Haploid","PKA"
13183,"A.DE1.PCRa_fitness",0.0628796313907532,"DE","fitness","other","Haploid","other"
13852,"A.DE1.PCRa_fitness",0.334743183763578,"DE","fitness","other","NotSequenced","other"
13872,"A.DE1.PCRa_fitness",0.376027332053719,"DE","fitness","other","Diploid","other"
14160,"A.DE1.PCRa_fitness",0.386179951843687,"DE","fitness","other","Diploid","other"
14280,"A.DE1.PCRa_fitness",0.774271642424532,"DE","fitness","GPB2","Haploid","PKA"
14485,"A.DE1.PCRa_fitness",0.545221493506266,"DE","fitness","other","NotSequenced","other"
14849,"A.DE1.PCRa_fitness",0.320824147269358,"DE","fitness","Diploid","Diploid","Diploid"
14915,"A.DE1.PCRa_fitness",0.416842743358382,"DE","fitness","other","Diploid","other"
15221,"A.DE1.PCRa_fitness",0.840863986406747,"DE","fitness","IRA1","Haploid","PKA"
15232,"A.DE1.PCRa_fitness",1.14442018873186,"DE","fitness","IRA1","Haploid","PKA"
15337,"A.DE1.PCRa_fitness",0.542742978315548,"DE","fitness","other","Diploid","other"
15787,"A.DE1.PCRa_fitness",0.659834580341766,"DE","fitness","PDE2","Haploid","PKA"
16720,"A.DE1.PCRa_fitness",0.366506559168544,"DE","fitness","other","NotSequenced","other"
17499,"A.DE1.PCRa_fitness",0.104999092303091,"DE","fitness","other","Haploid","other"
17615,"A.DE1.PCRa_fitness",0.0440899362840209,"DE","fitness","other","NotSequenced","neutral spikein"
17691,"A.DE1.PCRa_fitness",0.79047259044459,"DE","fitness","GPB2","Haploid","PKA"
17927,"A.DE1.PCRa_fitness",0.746818021432733,"DE","fitness","IRA2","Haploid","PKA"
18152,"A.DE1.PCRa_fitness",1.13582853242209,"DE","fitness","other","Haploid","other"
18200,"A.DE1.PCRa_fitness",0.727249961337672,"DE","fitness","IRA2","Haploid","PKA"
18352,"A.DE1.PCRa_fitness",0.308236329155966,"DE","fitness","Diploid","Diploid","Diploid"
18420,"A.DE1.PCRa_fitness",0.973642397375445,"DE","fitness","IRA1","Haploid","PKA"
18501,"A.DE1.PCRa_fitness",0.378492163603499,"DE","fitness","other","NotSequenced","other"
18860,"A.DE1.PCRa_fitness",0.344535907923521,"DE","fitness","other","NotSequenced","other"
18950,"A.DE1.PCRa_fitness",0.387457271868977,"DE","fitness","other","NotSequenced","other"
19184,"A.DE1.PCRa_fitness",0.826494090005632,"DE","fitness","PDE2","Haploid","PKA"
