BarcodeID,CellBatch1_fitness,24h_fitness,48h_fitness,72h_fitness,96h_fitness,120h_fitness,168h_fitness,4gen_fitness,6gen_fitness,8gen_fitness,8gen_2_fitness,9gen_fitness,CellBatch1_err,24h_err,48h_err,72h_err,96h_err,120h_err,168h_err,4gen_err,6gen_err,8gen_err,8gen_2_err,9gen_err,Global EC Fitness,Global EC Error,CloneID,Ploidy,Class,Mutated Gene,Mutation Type,Batch,Fermentation_Dependent_Component,Respiration_Dependent_Component,Stationary_Dependent_Rate,Cluster (Figure S6BC), 
311927,0.162463462,-0.009634063,0.203892,0.066242166,0.03958105,0.011425929,0.03542615,0.071657251,0.496673488,0.164810686,0.132420913,0.433382165,0.067177125,0.141359353,0.251592,0.1903843,0.207778202,0.139303075,0.152445519,0.097351173,0.065738543,0.090821891,0.096797489,0.078088635,0.157591267,0.046356418,130719-1-F8,Haploid,adaptive_haploids,NA,NA,NA,0.140038803,0.24911374,-0.000243149,6,
311998,0.169054378,0.313967249,0.324969,0.363936587,0.372336814,0.370217641,0.251471727,0.143790522,0.155097353,0.246683486,0.289114375,0.433172937,0.052872698,0.117954543,0.137933,0.101312178,0.107705432,0.089391051,0.100969347,0.067687978,0.051801159,0.06118127,0.062330239,0.054498499,0.233063034,0.032706521,131016-6-E6,Diploid,pure_diploids,NA,NA,NA,0.450765593,0.012835376,-0.001213595,NA,
312039,0.196806344,0.355710887,0.249445,0.320968934,0.266217497,0.568045465,0.297129036,0.176142489,0.115379916,0.228334597,0.331956538,0.349279817,0.053910098,0.118115464,0.139817,0.106887159,0.117592775,0.087776961,0.107668209,0.070962368,0.056084771,0.062938942,0.063221846,0.056070344,0.246329035,0.033372968,131010-2-E10,Diploid,pure_diploids,NA,NA,NA,0.347337065,-0.123976869,0.000278697,NA,
312127,0.172262105,0.2592587,0.232333,0.314365236,0.404228373,0.526692294,0.46199216,0.181688672,0.184180161,0.233094551,0.318675525,0.373309422,0.051179421,0.117742011,0.141426,0.104675963,0.105079314,0.086877391,0.099393407,0.06646451,0.052740944,0.061336925,0.063024196,0.056008024,0.231286252,0.032455678,E2-88-8-C2,Diploid,pure_diploids,NA,NA,NA,0.30699547,-0.031413317,0.001495519,NA,
312226,0.262892386,0.283570334,0.390023861,0.293574006,0.512822257,0.487595315,0.421827778,0.168653105,0.097990306,0.194944593,0.278512689,0.365006374,0.058670081,0.119363281,0.120088812,0.119797634,0.1141996,0.090119715,0.101110421,0.073173704,0.059132562,0.065464919,0.068527576,0.058734467,0.258286597,0.035220485,131025-1-F7,Diploid,pure_diploids,NA,NA,NA,0.346821306,0.124195781,0.000628026,NA,
312594,-0.020979247,0.012538096,-0.155974,0.037474569,-0.200018317,-0.048418223,0.002437449,0.02612345,-0.059312036,-0.07179974,-0.06462073,-0.072895071,0.088410463,0.138825811,0.254888,0.197705911,0.246571696,0.130740694,0.156594968,0.101196074,0.101319148,0.096489645,0.107091642,0.103010579,-0.054541459,0.054398372,131017-5-D3,Haploid,neutral_haploids,NA,NA,NA,-0.151518804,-0.196597445,0.000307603,NA,
312643,0.109782024,0.017887223,0.018959582,0.120650391,0.039985232,0.118243307,-0.110158317,0.053251002,0.043635622,0.081994735,0.007887344,-0.009087741,0.058709417,0.131989003,0.145629374,0.132722632,0.161691024,0.105372898,0.130392184,0.0860732,0.073215718,0.077996538,0.085252236,0.081868688,0.074005739,0.039551733,131010-2-H8,Haploid,neutral_haploids,NA,NA,NA,-0.063233183,0.001251085,-0.002221015,NA,
312695,-0.032613111,-0.04686662,-0.210147,0.277956613,-0.0501421,0.318292799,0.226928098,-0.059051651,-0.023656407,0.003869673,0.00072437,-0.013338371,0.080549687,0.143563384,0.306944,0.264809608,0.343211,0.117428381,0.140310977,0.104806837,0.093977403,0.093119299,0.112580447,0.105430748,-0.018814168,0.052780739,131016-6-C3,Haploid,neutral_haploids,NA,NA,NA,0.089839091,-0.190493776,-0.000228044,NA,
312783,0.111412231,0.014043766,0.078777563,0.234003388,0.092816836,-0.022847705,0.009642321,-0.057613233,-0.061095569,-0.025811171,-0.017614112,0.009118098,0.067086086,0.128633197,0.163693216,0.156228474,0.218354102,0.11685845,0.133616244,0.086983984,0.081169202,0.082545062,0.088400771,0.080310709,0.040530532,0.043264406,131101-3-A12,Haploid,neutral_haploids,NA,NA,NA,0.107427936,0.075522763,-0.002094882,NA,
312938,0.214099741,0.277619046,0.337915,0.355968057,0.554218795,0.3945199,0.399252853,0.133526088,0.0924684,0.134109287,0.288040714,0.281853771,0.05387527,0.118298176,0.144782,0.113825633,0.106788664,0.087544012,0.098255586,0.068573745,0.056855119,0.063605355,0.063687403,0.05681855,0.219025881,0.033596533,131122-2-G6,Diploid,pure_diploids,NA,NA,NA,0.272172569,0.070345279,-0.000312874,NA,
